"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2024SV2","2024-09-28 16:59","49263","0.000329","0.128","5 - 11*","28.6","12.6","11.5","0.952"
"2024SY6","2024-09-28 16:13","2268004","0.015161","5.900","28 - 60*","24.9","18.0","19.2","2.033"
"2024TC1","2024-09-28 14:41","5966260","0.039882","15.521","17 - 40*","26.0","20.6","6.9","3.131"
"2024SQ","2024-09-28 08:10","1238129","0.008276","3.221","18 - 40*","25.8","17.6","12.9","1.972"
"2024SR","2024-09-28 04:33","1189261","0.007950","3.094","23 - 50*","25.3","17.7","16.9","1.703"
"2024SE","2024-09-28 02:19","2920667","0.019523","7.598","40 - 80*","24.4","17.4","10.9","1.690"
"2024SA7","2024-09-28 01:52","1829312","0.012228","4.759","10 - 22*","27.2","19.2","2.5","2.169"
"2024SB1","2024-09-28 00:13","4892452","0.032704","12.728","11 - 24*","27.0","20.9","8.0","3.712"
"2024TS1","2024-09-27 21:54","2090597","0.013975","5.439","8 - 18*","27.6","19.8","8.9","3.407"
"2024TL1","2024-09-27 21:17","3605386","0.024101","9.379","60 - 130*","23.4","18.2","23.7","1.543"
"2024SD1","2024-09-27 20:17","2041168","0.013644","5.310","5 - 12*","28.5","21.3","10.1","4.050"
"2024SC1","2024-09-27 17:58","1536051","0.010268","3.996","9 - 20*","27.4","19.2","9.8","3.082"
"2024SG1","2024-09-27 17:23","893474","0.005973","2.324","8 - 19*","27.5","17.9","17.0","2.886"
"2024SS4","2024-09-27 15:42","903035","0.006036","2.349","9 - 21*","27.3","18.3","10.4","2.568"
"2024SM1","2024-09-27 11:17","3955819","0.026443","10.291","7 - 16*","27.9","20.4","7.7","4.091"
"2024SA6","2024-09-27 10:49","3568207","0.023852","9.283","23 - 50*","25.3","18.1","13.1","2.559"
"2011ST12","2024-09-27 08:35","6521616","0.043594","16.966","16 - 40*","26.1","21.9","7.4","3.354"
"2024SN4","2024-09-27 07:24","1000631","0.006689","2.603","14 - 30*","26.5","17.7","16.4","2.295"
"2024SL2","2024-09-27 03:55","5805293","0.038806","15.102","30 - 70*","24.8","19.4","10.5","2.533"
"2024RP15","2024-09-27 01:21","6723643","0.044945","17.491","22 - 50*","25.4","21.0","9.9","3.067"
