"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2019VU5","2024-11-13 22:01","1953889","0.013061","5.083","40 - 80*","24.4","17.6","22.8","1.560"
"2019VL5","2024-11-14 23:42","3681227","0.024607","9.577","19 - 40*","25.7","21.2","8.5","2.686"
"2021RU","2024-11-16 09:42","6437120","0.043029","16.746","23 - 50*","25.4","20.3","8.1","2.900"
"2023WK3","2024-11-18 13:32","6174326","0.041273","16.062","210 - 500*","20.5","24.0","14.5","0.977"
"2012KO11","2024-11-19 17:23","2800284","0.018719","7.285","30 - 70*","24.6","17.4","9.3","1.750"
"2017UT7","2024-11-20 15:30","7408400","0.049522","19.273","30 - 70*","24.8","20.0","6.9","2.508"
"2020VX4","2024-11-21 01:12","4443413","0.029702","11.559","9 - 20*","27.4","23.0","10.4","4.034"
"2022UC16","2024-11-24 16:56","5790089","0.038704","15.063","19 - 40*","25.8","21.2","5.7","2.845"
"2009WB105","2024-11-25 00:43","5786686","0.038682","15.054","50 - 120*","23.4","16.8","18.9","1.945"
"2017WE28","2024-11-25 17:52","6947725","0.046443","18.074","13 - 28*","26.6","23.0","10.1","3.894"
"2006WB","2024-11-26 17:59","891384","0.005959","2.319","70 - 160*","22.9","12.9","4.2","-0.661"
"2014WR362","2024-11-27 04:24","5617535","0.037551","14.614","9 - 21*","27.3","22.7","13.4","4.249"
"2018DC4","2024-11-29 06:05","7261321","0.048539","18.890","10 - 21*","27.2","24.1","4.5","3.817"
"2010AH3","2024-11-29 21:27","5429684","0.036295","14.125","14 - 30*","26.3","27.1","6.3","3.221"
"2019JN2","2024-11-30 07:39","3588443","0.023987","9.335","19 - 40*","25.7","21.3","7.7","2.593"
"2021XZ","2024-12-02 08:50","5033518","0.033647","13.095","6 - 14*","28.1","22.6","7.4","4.387"
"2021BJ","2024-12-03 01:44","7265216","0.048565","18.900","22 - 50*","25.4","26.3","6.1","2.843"
"447755 2007JX2","2024-12-03 23:15","5532068","0.036980","14.391","300 - 700*","19.7","15.6","12.2","0.575"
"2020XR","2024-12-04 05:26","2209304","0.014768","5.747","300 - 700*","19.8","13.3","12.3","-0.203"
"2021WA5","2024-12-05 13:43","3313758","0.022151","8.621","10 - 22*","27.2","21.2","5.8","3.305"
"2021XN4","2024-12-05 17:25","7255985","0.048503","18.876","50 - 110*","23.7","19.0","13.2","2.168"
"2018XU3","2024-12-11 08:26","6442404","0.043065","16.760","22 - 50*","25.4","20.3","10.8","3.082"
"2007XB23","2024-12-11 18:05","447491","0.002991","1.164","11 - 24*","27.0","16.9","4.8","1.293"
"2016AZ193","2024-12-17 07:51","882083","0.005896","2.295","13 - 29*","26.6","18.2","7.7","1.944"
"2022YO1","2024-12-17 14:14","640741","0.004283","1.667","2.8 - 6*","29.9","20.8","14.4","3.857"
"2020XY4","2024-12-20 00:08","4860237","0.032489","12.644","11 - 24*","26.9","21.6","8.8","3.715"
"2020YE","2024-12-25 20:33","5042271","0.033706","13.117","40 - 100*","24.0","20.2","19.4","2.090"
"2021BA2","2024-12-25 21:11","3869874","0.025869","10.067","30 - 70*","24.7","20.2","9.2","2.098"
"2017YD2","2024-12-27 21:54","6532933","0.043670","16.995","5 - 11*","28.6","25.9","9.8","5.079"
"2024AV2","2024-12-31 03:45","2583621","0.017270","6.721","13 - 29*","26.6","20.4","7.8","2.864"
"2021AB","2025-01-01 15:39","3300466","0.022062","8.586","25 - 60*","25.1","18.6","13.2","2.380"
"2021AO4","2025-01-04 12:10","2607618","0.017431","6.784","8 - 19*","27.5","20.6","15.1","3.773"
"2020CJ","2025-01-05 11:37","6119201","0.040904","15.919","11 - 25*","26.8","22.0","7.4","3.758"
"2020BC6","2025-01-05 21:43","3683381","0.024622","9.582","190 - 400*","20.7","15.3","22.2","0.687"
"2024BM1","2025-01-08 23:05","4528165","0.030269","11.780","17 - 40*","26.0","21.6","9.1","3.049"
"2024PT5","2025-01-09 02:09","1800555","0.012036","4.684","8 - 19*","27.5","18.8","1.0","1.710"
"2022EE6","2025-01-09 18:46","4795186","0.032054","12.475","40 - 80*","24.3","20.2","9.0","1.980"
"2017BN92","2025-01-11 00:01","3471951","0.023209","9.032","19 - 40*","25.7","18.9","6.6","2.445"
"2012UK171","2025-01-11 00:39","4081239","0.027281","10.617","30 - 80*","24.4","20.6","6.4","1.698"
"2012AW10","2025-01-13 01:17","6255376","0.041815","16.273","18 - 40*","25.8","21.5","12.2","3.351"
"2023OS","2025-01-15 14:51","6354408","0.042477","16.531","40 - 80*","24.3","19.0","10.9","2.281"
"2022CE2","2025-01-16 20:55","4258409","0.028466","11.078","90 - 210*","22.3","19.5","13.3","1.129"
"2022OB5","2025-01-18 01:51","3414465","0.022824","8.883","5 - 10*","28.8","23.4","1.4","3.230"
"2020TM7","2025-01-27 12:51","6237211","0.041693","16.226","21 - 50*","25.5","21.8","13.0","3.180"
"2015DJ155","2025-01-31 06:57","7112691","0.047545","18.503","40 - 90*","24.0","19.4","9.2","2.156"
"2018RE3","2025-02-02 21:17","5090905","0.034031","13.244","10 - 22*","27.1","22.6","10.9","3.990"
"2022AV4","2025-02-03 10:49","6442241","0.043064","16.759","19 - 40*","25.7","20.7","3.4","2.501"
"2002CC14","2025-02-04 02:27","3002308","0.020069","7.810","25 - 60*","25.1","19.5","12.6","2.288"
"2016CO248","2025-02-07 19:15","5192057","0.034707","13.507","9 - 19*","27.4","23.7","5.9","3.844"
"2020GZ2","2025-02-07 19:23","6749637","0.045119","17.559","7 - 15*","28.1","23.9","8.9","4.731"
"2022PK1","2025-02-07 23:52","5957150","0.039821","15.497","26 - 60*","25.1","23.2","11.0","2.811"
"2012PB20","2025-02-09 20:30","1402196","0.009373","3.648","28 - 60*","24.8","18.1","4.3","0.808"
"2017DN34","2025-02-09 20:60","6383472","0.042671","16.606","40 - 80*","24.3","19.9","17.2","2.448"
"2004XG","2025-02-16 02:34","5971093","0.039914","15.534","40 - 90*","24.1","21.2","9.1","2.050"
