"Peak Brightness Date/Time (UT)","Latitude (deg.)","Longitude (deg.)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total Radiated Energy (J)","Calculated Total Impact Energy (kt)"
"2020-12-28 17:27:53","36.8N","54.7W","28.3","15.2","1.5","3.5","-14.7","5.7e10","0.18"
"2020-12-22 23:23:33","31.9N","96.2E","35.5","13.6","-2.6","5.9","-12.1","489.8e10","9.5"
"2020-11-28 16:34:11","33.3N","135.1E","28.1","19.6","1.8","-16.5","-10.4","2.6e10","0.092"
"2020-11-25 12:20:50","30.5S","81.0W","","","","","","2.1e10","0.076"
"2020-11-07 21:27:04","59.8N","16.8E","22.3","16.7","-10.8","1.2","-12.7","11.1e10","0.33"
"2020-10-26 15:09:10","5.9S","160.4E","28.5","17.6","10.9","-13.8","-0.1","11.4e10","0.34"
"2020-10-23 20:51:39","30.0N","71.9W","48.0","","","","","8.0e10","0.25"
"2020-10-22 17:39:33","22.0N","133.5W","40.0","17.6","-9.4","14.1","-4.9","4.4e10","0.15"
"2020-10-21 18:57:33","12.9N","150.2W","","","","","","2.2e10","0.079"
"2020-10-21 06:38:49","29.7S","93.9W","39","","","","","2.7e10","0.095"
"2020-10-19 07:05:47","48.6N","93.9E","40.7","","","","","2.1e10","0.076"
"2020-10-18 10:52:43","11.4S","135.8W","36.0","16.4","15.6","1.5","4.9","3.6e10","0.12"
"2020-09-18 08:05:27","2.4N","169.7W","46.0","11.7","10.2","2.9","-4.9","4.1e10","0.14"
"2020-08-30 16:08:22","26.0N","133.5E","27.8","23.4","7.8","-21.7","3.7","6.4e10","0.2"
"2020-08-02 16:36:25","35.1S","34.2W","38.0","11.1","0.5","6.0","9.3","7.4e10","0.23"
"2020-07-22 02:55:40","20.0S","103.8W","36.0","","","","","2.2e10","0.079"
"2020-07-20 21:25:09","51.8S","11.2W","31.6","14.1","-2.9","-1.0","-13.8","5.0e10","0.16"
"2020-07-12 07:50:32","48.7S","74.0E","29.4","18.3","-5.0","-13.0","-11.9","7.5e10","0.23"
"2020-05-27 17:30:18","40.8N","41.7E","29.3","14.9","-6.0","-7.3","-11.5","5.7e10","0.18"
"2020-05-18 01:11:09","38.7S","77.2E","25","","","","","16.2e10","0.46"
"2020-05-12 23:22:56","15.9N","174.2E","","","","","","8.3e10","0.26"
"2020-05-09 09:37:15","7.2N","44.2W","52.5","","","","","4.1e10","0.14"
"2020-05-09 02:56:11","44.8N","131.0W","31.2","14.5","-13.0","-4.0","-5.0","4.1e10","0.14"
"2020-04-28 05:43:17","20.1N","109.4W","","","","","","2.1e10","0.076"
"2020-04-18 13:08:38","12.5N","49.8W","","","","","","2.7e10","0.095"
"2020-04-14 11:11:16","65.6S","45.6W","","","","","","2.0e10","0.073"
"2020-03-26 23:27:56","38.3S","23.5E","26.5","20.7","-10","3.2","17.8","12.4e10","0.37"
"2020-03-23 16:51:51","24.4S","67.9W","25","","","","","13.3e10","0.39"
"2020-03-22 06:44:29","","","","","","","","2.5e10","0.089"
"2020-03-04 20:25:59","53.3S","90.8E","24.3","19.8","-5.2","2.2","19.0","39.4e10","1"
"2020-02-28 09:30:34","45.7N","15.1E","34.5","21.5","-18.2","-11.3","-2.1","11.5e10","0.34"
"2020-02-24 22:21:28","3.6N","96.0W","","","","","","2.0e10","0.073"
"2020-02-10 23:48:17","28.2N","76.7E","41.7","31.7","-27.8","-14.3","-5.2","2.7e10","0.095"
"2020-01-27 05:39:15","30.4N","1.5E","32.5","19.8","-2.0","-16.6","-10.6","4.4e10","0.15"
"2020-01-24 11:13:31","28.0N","35.8W","32.0","21.2","-18.6","-9.0","-4.7","2.6e10","0.092"
"2020-01-21 20:07:44","33.1N","34.3E","43.3","27.4","-7.5","-23.5","-11.9","2.8e10","0.098"
"2020-01-17 21:29:49","19.4N","66.0W","14.5","15.5","-13.2","8.1","1.2","9.7e10","0.29"
"2020-01-16 09:31:42","71.7S","116.4W","27.8","12.9","9.8","-4.5","7.0","5.9e10","0.19"
"2020-01-15 06:31:39","23.7S","125.2W","31.5","","","","","19.6e10","0.55"
"2020-01-06 11:03:50","70.4S","17.5W","","","","","","4.5e10","0.15"
"2019-12-21 14:30:52","56.5N","147.6W","35.5","22.2","14.9","-8.1","-14.3","6.5e10","0.21"
"2019-12-11 01:19:11","47.7N","161.7E","37","17.8","13.7","-10.9","-3.3","3.9e10","0.13"
"2019-12-06 10:19:57","3.3S","37.7W","19.5","","","","","4.6e10","0.15"
"2019-12-03 06:46:27","5.6N","52.2W","61.5","","","","","4.2e10","0.14"
"2019-11-28 20:30:54","35.7N","31.7W","35","13.0","-11.6","-2.5","-5.4","2.7e10","0.095"
"2019-11-28 13:22:10","","","","","","","","2.6e10","0.092"
"2019-11-28 11:55:02","22.1S","25.7E","22.5","24.7","-22.8","-5.5","7.6","2.5e10","0.089"
"2019-11-05 11:24:51","10.4S","143.3W","38.0","27.4","5.2","12.3","23.9","11.0e10","0.33"
"2019-10-22 22:21:15","12.0N","76.0W","40.7","","","","","2.7e10","0.095"
"2019-10-10 16:16:36","44.3N","122.9E","47.3","14.1","1.5","-12.9","-5.4","20.6e10","0.57"
"2019-09-28 10:40:20","12.5S","107.2W","52","20.4","-10.1","11.2","13.7","2.3e10","0.082"
"2019-09-27 13:35:46","25.7N","28.4W","","","","","","3.4e10","0.12"
"2019-09-14 12:39:34","38.6S","33.5W","38","15.9","-12.9","8.1","4.6","10.9e10","0.33"
"2019-09-13 02:02:04","18.6S","126.9E","27.4","13.5","5.2","-8.1","9.5","4.2e10","0.14"
"2019-09-12 12:49:48","54.5N","9.2E","42","18.5","-18.1","-0.4","3.7","16.9e10","0.48"
"2019-09-12 02:34:58","24.9N","47.8W","30.6","17.2","-11.7","11.7","4.6","5.9e10","0.19"
"2019-08-24 12:02:59","21.9N","130.4W","39.8","13.4","11.1","-5.2","5.4","4.0e10","0.13"
"2019-08-22 21:47:29","24.4S","92.9W","30.2","","","","","2.0e10","0.073"
"2019-08-16 20:36:05","38.9N","7.0E","36.0","14.9","-3.9","4.0","-13.8","2.5e10","0.089"
"2019-07-23 20:42:58","44.6N","147.6W","30.6","16.1","1.5","15.1","-5.5","25.5e10","0.69"
"2019-06-30 16:52:58","21.2N","129.5W","59.0","42.3","25.2","31.2","-13.3","3.2e10","0.11"
"2019-06-30 08:11:29","2.5S","168.7E","","","","","","2.1e10","0.076"
"2019-06-22 21:25:48","14.9N","66.2W","25.0","14.9","-13.4","6.0","2.5","294.7e10","6"
"2019-06-20 06:07:32","7.3N","67.6W","37.0","","","","","2.8e10","0.098"
"2019-05-26 10:07:55","56.6N","25.3W","24.4","17.5","3.8","-5.8","16.1","4.2e10","0.14"
"2019-05-25 06:44:04","19.2S","89.4E","29.2","15.8","0.2","-15.7","2.1","4.9e10","0.16"
"2019-05-22 15:16:49","10.8N","37.3W","32.6","","","","","9.5e10","0.29"
"2019-05-21 13:21:35","38.8S","137.5E","31.5","11.5","4.4","-8.5","6.4","65.6e10","1.6"
"2019-05-19 14:47:03","23.6S","132.8E","33.3","15.2","7.3","-12.2","5.3","3.3e10","0.11"
"2019-05-12 22:41:48","6.2N","57.1W","","","","","","2.1e10","0.076"
"2019-05-04 15:35:46","28.4N","88.3W","26.5","","","","","2.2e10","0.079"
"2019-04-22 21:42:11","48.8S","67.8E","33.3","11.4","3.4","-4.2","10.0","12.4e10","0.37"
"2019-04-14 17:54:33","18.3N","74.6W","30.6","15.9","-2.5","5.9","-14.6","2.9e10","0.1"
"2019-04-06 11:59:09","56.5N","94.9E","41.5","18.1","6.2","11.1","-12.9","7.0e10","0.22"
"2019-04-04 22:19:01","35.3N","93.9W","","","","","","2.8e10","0.098"
"2019-03-27 12:50:34","41.8S","7.4W","","","","","","2.2e10","0.079"
"2019-03-19 02:06:39","24.0S","140.3E","28.7","16.2","10.2","0.4","12.6","2.0e10","0.073"
"2019-03-15 12:26:56","63.7N","95.7E","31.5","14.4","5.4","-13.2","1.7","4.6e10","0.15"
"2019-02-18 10:00:43","15.5S","25.3E","26","20.8","-16.6","-12.6","0.6","195.8e10","4.2"
"2019-02-01 18:17:10","22.5N","83.8W","23.7","16.3","-2.4","13.6","8.7","57.9e10","1.4"
"2019-01-29 20:47:20","","","","","","","","2.5e10","0.089"
"2019-01-22 09:18:01","18.0N","6.5E","42.5","11.6","-8.6","-5.9","5.0","3.6e10","0.12"
"2018-12-23 23:38:03","47.5S","174.4W","31.8","16.5","9.9","7.6","10.8","8.9e10","0.27"
"2018-12-18 23:48:20","56.9N","172.4E","26.0","13.6","6.3","-3.0","-31.2","3.13e13","49"
"2018-11-20 17:30:28","25.3N","6.7W","27.4","17.4","-10.1","13.9","3.0","42.2e10","1.1"
"2018-11-17 21:48:24","47.3N","172.9W","32.5","19.1","7.6","17.3","-2.7","22.0e10","0.61"
"2018-11-15 08:02:44","42N","57W","","","","","","2.0e10","0.073"
"2018-11-14 04:03:47","37.6S","83.5E","37","","","","","3.8e10","0.13"
"2018-10-24 21:19:07","6.7S","148.6W","33.3","","","","","4.7e10","0.16"
"2018-10-22 07:11:03","","","","","","","","2.6e10","0.092"
"2018-10-05 00:27:04","39.8S","31.7W","31.5","14.7","-13.2","-6.5","-0.4","3.8e10","0.13"
"2018-09-25 14:10:33","23.5S","56.8E","33.0","16.5","-16.2","2.8","0.6","80.6e10","1.9"
"2018-09-25 00:16:59","34.3S","44.9E","40.7","12.5","-11.0","2.5","-5.5","5.3e10","0.17"
"2018-09-20 18:29:03","67.3S","75.1E","","11.1","-5.6","-7.9","5.5","8.3e10","0.26"
"2018-09-17 01:08:02","6.8S","27.8W","","","","","","15.0e10","0.43"
"2018-09-13 00:51:21","42.5N","50.1W","","","","","","4.2e10","0.14"
"2018-08-27 04:36:45","1.7S","141.4E","33.0","16.1","9.8","-9.6","-8.4","2.4e10","0.086"
"2018-08-21 12:26:14","39.2S","162.9W","37.0","","","","","2.2e10","0.079"
"2018-07-27 09:35:14","58.8S","105.8E","32.0","","","","","10.5e10","0.32"
"2018-07-25 21:55:26","76.9N","69.0W","43.3","24.4","20.4","12.9","-3.8","87.7e10","2.1"
"2018-07-17 15:17:37","82.5N","136.7W","","","","","","21.1e10","0.59"
"2018-06-26 17:51:53","32.0N","12.1E","63.0","14.1","-10.0","-1.0","-9.9","2.9e10","0.1"
"2018-06-21 01:16:20","52.8N","38.1E","27.2","14.4","-8.9","-4.3","-10.5","122.4e10","2.8"
